Virtual Page|	Physical Page
0	|	185
1	|	168
2	|	138
3	|	67
4	|	116
5	|	229
6	|	173
7	|	62
8	|	190
9	|	212
10	|	66
11	|	152
12	|	165
13	|	128
14	|	90
15	|	61
16	|	43
17	|	204
18	|	25
19	|	84
20	|	47
21	|	46
22	|	241
23	|	20
24	|	87
25	|	117
26	|	249
27	|	140
28	|	28
29	|	40
30	|	55
31	|	4
32	|	18
33	|	122
34	|	187
35	|	248
36	|	225
37	|	139
38	|	251
39	|	123
40	|	224
41	|	153
42	|	102
43	|	2
44	|	80
45	|	112
46	|	105
47	|	131
48	|	146
49	|	158
50	|	150
51	|	195
52	|	175
53	|	50
54	|	133
55	|	232
56	|	220
57	|	27
58	|	184
59	|	193
60	|	98
61	|	245
62	|	94
63	|	164
64	|	243
65	|	171
66	|	111
67	|	136
68	|	188
69	|	149
70	|	224
71	|	0
72	|	16
73	|	249
74	|	147
75	|	250
76	|	223
77	|	145
78	|	76
79	|	213
80	|	125
81	|	103
82	|	122
83	|	17
84	|	231
85	|	1
86	|	251
87	|	101
88	|	72
89	|	176
90	|	254
91	|	214
92	|	252
93	|	15
94	|	121
95	|	31
96	|	169
97	|	73
98	|	49
99	|	44
100	|	197
101	|	91
102	|	167
103	|	6
104	|	210
105	|	117
106	|	109
107	|	92
108	|	9
109	|	192
110	|	133
111	|	70
112	|	159
113	|	93
114	|	60
115	|	189
116	|	156
117	|	3
118	|	199
119	|	68
120	|	134
121	|	129
122	|	120
123	|	77
124	|	82
125	|	166
126	|	178
127	|	230
128	|	244
129	|	186
130	|	205
131	|	118
132	|	74
133	|	88
134	|	42
135	|	154
136	|	187
137	|	106
138	|	126
139	|	28
140	|	203
141	|	208
142	|	89
143	|	56
144	|	246
145	|	78
146	|	194
147	|	27
148	|	98
149	|	148
150	|	132
151	|	239
152	|	218
153	|	14
154	|	112
155	|	183
156	|	164
157	|	69
158	|	61
159	|	144
160	|	233
161	|	140
162	|	112
163	|	40
164	|	209
165	|	35
166	|	191
167	|	226
168	|	29
169	|	81
170	|	19
171	|	101
172	|	216
173	|	8
174	|	53
175	|	224
176	|	179
177	|	32
178	|	231
179	|	86
180	|	217
181	|	79
182	|	238
183	|	114
184	|	110
185	|	113
186	|	163
187	|	222
188	|	124
189	|	90
190	|	210
191	|	46
192	|	4
193	|	225
194	|	45
195	|	10
196	|	48
197	|	33
198	|	219
199	|	6
200	|	143
201	|	80
202	|	171
203	|	97
204	|	170
205	|	131
206	|	215
207	|	26
208	|	240
209	|	59
210	|	173
211	|	39
212	|	151
213	|	252
214	|	128
215	|	198
216	|	136
217	|	172
218	|	57
219	|	95
220	|	99
221	|	256
222	|	14
223	|	12
224	|	58
225	|	68
226	|	161
227	|	201
228	|	174
229	|	21
230	|	108
231	|	79
232	|	71
233	|	24
234	|	129
235	|	207
236	|	1
237	|	221
238	|	44
239	|	40
240	|	234
241	|	170
242	|	36
243	|	137
244	|	23
245	|	127
246	|	22
247	|	32
248	|	126
249	|	223
250	|	209
251	|	51
252	|	121
253	|	9
254	|	231
255	|	85
